C0 C99 C34 C6 C68 C25 C26 C68 C39 C68 C12 C50 C27 C9 C27 C86 C67 C47 C93 C96 C40 C96 C93 C70 C69 C42 C28 C42 C93 C95 C85 C21 C85 C56 C84 C92 C5 C44 C1 C92 C89 C76 C97 C78 C11 C78 C97 C86 C85 C75 C58 C53 C24 C71 C29 C82 C95 C17 C22 C93 C87 C20 C80 C83 C55 C35 C96 C46 C79 C36 C81 C95 C98 C90 C14 C59 C90 C99 C0
47
C79 C77
C86 C87
C75 C85 C75
C93 C96 C93
C95 C94 C95
C22 C22
C59 C59
C56 C56
C27 C27
C69 C69
C21 C21
C17 C17
C58 C58
C24 C24
C50 C50
C42 C42
C14 C14
C6 C6
C47 C47
C20 C20
C5 C5
C46 C46
C29 C29
C84 C84
C81 C81
C40 C40
C83 C83
C11 C11
C44 C44
C53 C53
C98 C98
C35 C35
C76 C76
C1 C1
C55 C55
C28 C28
C36 C36
C26 C26
C34 C34
C70 C70
C9 C9
C89 C89
C39 C39
C67 C67
C12 C12
C25 C25
C97 C97
