ssp100 25 4 2 3 5 7 24 7 5 3 23 27 33 53 43 47 39 51 29 56 55 45 37 41 31 49 35 27 71 63 59 26 58 60 64 73 64 60 65 74 65 60 58 61 67 79 67 61 58 26 59 62 69 82 69 62 68 81 68 62 59 63 71 27 92 97 99 98 87 88 87 93 94 93 90 93 87 91 95 91 89 96 89 91 87 27 23 18 19 22 19 20 21 20 19 16 12 15 18 3 8 9 8 10 8 11 8 3 2 1 2 4 25 ssp100
48
ssp100 ssp100
4 4
2 2
24 24
33 33
53 53
43 43
47 47
39 39
51 51
29 29
56 56
55 55
45 45
37 37
41 41
31 31
49 49
35 35
73 73
64 64
65 65
74 74
79 79
82 82
81 81
68 68
59 59
92 92
97 97
99 99
98 98
88 88
93 93
94 94
90 90
95 95
96 96
27 27
22 22
20 20
21 21
12 12
15 15
9 9
10 10
11 11
1 1
